factory_id,sector,total_emissions_kg,max_monthly_emissions_kg,alerts_count
FAC_001,Steel,80609.43,9197.28,0
FAC_002,Steel,82088.43,11189.05,0
FAC_003,Electronics,11360.50,1432.97,0
FAC_004,Textile,20771.25,2340.67,0
FAC_005,Textile,20286.92,2366.48,0
FAC_006,Electronics,10889.81,1393.49,0
FAC_007,Electronics,11062.73,1231.02,0
FAC_008,Electronics,12192.95,1888.49,0
FAC_009,Steel,91186.43,10127.86,0
FAC_010,Electronics,10993.94,1250.83,0
FAC_011,Steel,87168.67,10820.78,0
FAC_012,Steel,85111.57,9578.99,0
FAC_013,Electronics,11203.50,1355.74,0
FAC_014,Electronics,11218.93,1273.74,0
FAC_015,Electronics,10814.06,1268.23,0
FAC_016,Electronics,12035.76,1437.97,0
FAC_017,Electronics,10957.51,1612.91,0
FAC_018,Electronics,8606.18,1066.61,0
FAC_019,Steel,90747.19,10039.87,0
FAC_020,Textile,19069.64,2134.35,0
FAC_021,Electronics,10377.19,1216.03,0
FAC_022,Electronics,11486.41,2385.88,0
FAC_023,Steel,85430.04,9701.82,0
FAC_024,Textile,20040.31,2129.04,0
FAC_025,Steel,72546.60,7822.15,0
FAC_026,Textile,20108.71,2360.98,0
FAC_027,Steel,87262.88,11832.64,0
FAC_028,Steel,83042.64,10723.18,0
FAC_029,Steel,79339.77,8953.00,0
FAC_030,Textile,18193.12,2127.95,0
FAC_031,Textile,19234.67,2062.20,0
FAC_032,Steel,94056.79,13607.12,0
FAC_033,Steel,88951.27,11462.40,0
FAC_034,Steel,90396.58,9149.68,0
FAC_035,Textile,18686.45,2108.30,0
FAC_036,Textile,19252.35,2239.35,0
FAC_037,Electronics,11222.06,1342.95,0
FAC_038,Textile,17580.33,2017.93,0
FAC_039,Steel,78200.99,8331.43,0
FAC_040,Steel,83403.05,9158.13,0
FAC_041,Steel,85893.24,9621.65,0
FAC_042,Steel,80795.02,9325.73,0
FAC_043,Electronics,10604.87,1479.19,0
FAC_044,Electronics,11955.20,1984.49,0
FAC_045,Textile,18716.19,1960.57,0
FAC_046,Steel,88562.85,9620.29,0
FAC_047,Electronics,10949.60,1269.06,0
FAC_048,Textile,17775.00,2344.56,0
FAC_049,Textile,17612.54,2243.87,0
FAC_050,Steel,89897.01,14229.90,0
