factory_id,sector,total_emissions_kg,max_monthly_emissions_kg,alerts_count
FAC_001,Textile,17860.41,1767.43,0
FAC_002,Electronics,10883.27,1307.55,0
FAC_003,Electronics,8097.82,1007.77,0
FAC_004,Steel,84568.38,9901.87,0
FAC_005,Textile,18833.51,2525.86,0
FAC_006,Electronics,10186.47,1300.47,0
FAC_007,Electronics,11453.97,1507.00,0
FAC_008,Steel,83641.12,8996.46,0
FAC_009,Electronics,10381.36,1231.68,0
FAC_010,Steel,96341.51,11388.85,0
FAC_011,Textile,18606.31,1864.01,0
FAC_012,Steel,87992.42,9413.09,0
FAC_013,Electronics,9803.42,1092.49,0
FAC_014,Electronics,11567.94,1223.59,0
FAC_015,Textile,20018.95,2886.55,0
FAC_016,Textile,18485.77,1934.06,0
FAC_017,Textile,21491.91,3377.49,0
FAC_018,Steel,87284.01,9934.13,0
FAC_019,Electronics,10388.02,1177.08,0
FAC_020,Steel,81173.30,8561.95,0
FAC_021,Textile,18759.55,2152.78,0
FAC_022,Steel,82758.15,11751.92,0
FAC_023,Electronics,9920.90,1265.36,0
FAC_024,Textile,18526.02,2508.83,0
FAC_025,Textile,20240.77,2240.82,0
FAC_026,Steel,92006.15,10328.84,0
FAC_027,Electronics,8999.54,1200.01,0
FAC_028,Steel,76108.25,9300.80,0
FAC_029,Electronics,11208.45,1347.92,0
FAC_030,Steel,80357.11,8586.06,0
FAC_031,Electronics,11400.65,1244.79,0
FAC_032,Textile,21024.88,2970.50,0
FAC_033,Steel,80891.23,9161.32,0
FAC_034,Textile,20206.42,2516.81,0
FAC_035,Textile,19863.46,2382.64,0
FAC_036,Textile,20327.88,2471.31,0
FAC_037,Electronics,10299.34,1191.91,0
FAC_038,Electronics,10592.22,1711.24,0
FAC_039,Electronics,11937.51,1570.41,0
FAC_040,Electronics,9707.67,1071.26,0
FAC_041,Steel,81148.51,9846.90,0
FAC_042,Steel,84480.39,10157.14,0
FAC_043,Textile,17333.43,2290.84,0
FAC_044,Steel,89361.00,11762.71,0
FAC_045,Steel,73347.00,8640.74,0
FAC_046,Electronics,9670.11,1446.96,0
FAC_047,Electronics,11469.17,1439.26,0
FAC_048,Steel,83323.82,8823.01,0
FAC_049,Steel,83575.71,10154.64,0
FAC_050,Textile,21571.17,3049.62,0
