factory_id,sector,total_emissions_kg,max_monthly_emissions_kg,alerts_count
FAC_001,Electronics,10884.93,1658.07,0
FAC_002,Electronics,11659.92,1361.05,0
FAC_003,Electronics,9933.61,1400.56,0
FAC_004,Electronics,9496.24,1327.76,0
FAC_005,Steel,76863.77,11230.25,0
FAC_006,Textile,19410.36,2335.50,0
FAC_007,Electronics,12044.47,1593.27,0
FAC_008,Steel,82596.48,9651.58,0
FAC_009,Steel,80833.84,8785.83,0
FAC_010,Textile,18001.21,1895.09,0
FAC_011,Textile,18109.06,2342.90,0
FAC_012,Textile,19569.58,2472.98,0
FAC_013,Steel,80674.06,8874.22,0
FAC_014,Electronics,10498.32,1400.78,0
FAC_015,Steel,83134.27,11481.94,0
FAC_016,Steel,81293.29,9866.36,0
FAC_017,Steel,100374.65,14274.93,0
FAC_018,Steel,85986.53,9153.93,0
FAC_019,Electronics,11018.78,1428.79,0
FAC_020,Steel,79903.25,9026.30,0
FAC_021,Electronics,10615.95,1323.59,0
FAC_022,Electronics,10588.28,1487.03,0
FAC_023,Steel,82276.98,8547.51,0
FAC_024,Steel,84305.44,8885.84,0
FAC_025,Textile,19732.18,2430.73,0
FAC_026,Textile,19424.70,2400.02,0
FAC_027,Textile,20104.41,2576.53,0
FAC_028,Electronics,11043.83,1304.35,0
FAC_029,Electronics,11781.33,1470.95,0
FAC_030,Textile,17949.07,1794.87,0
FAC_031,Steel,83820.97,9013.22,0
FAC_032,Electronics,11570.53,1317.24,0
FAC_033,Steel,75752.21,9247.93,0
FAC_034,Textile,17795.22,2078.63,0
FAC_035,Steel,72093.04,8704.14,0
FAC_036,Electronics,10721.02,1477.52,0
FAC_037,Steel,84773.03,11076.45,0
FAC_038,Electronics,10782.27,1313.39,0
FAC_039,Steel,87936.18,10101.76,0
FAC_040,Steel,81564.11,8573.98,0
FAC_041,Electronics,10009.38,1376.52,0
FAC_042,Textile,19552.17,2054.44,0
FAC_043,Electronics,12177.49,1523.87,0
FAC_044,Electronics,10067.57,1966.31,0
FAC_045,Steel,75504.44,9787.38,0
FAC_046,Steel,83665.59,9363.30,0
FAC_047,Textile,20029.49,2269.99,0
FAC_048,Steel,78348.39,9687.72,0
FAC_049,Textile,18086.24,1916.55,0
FAC_050,Textile,18808.09,3539.42,0
