factory_id,sector,total_emissions_kg,max_monthly_emissions_kg,alerts_count
FAC_001,Steel,76359.95,7559.88,0
FAC_002,Textile,18777.73,2004.18,0
FAC_003,Textile,19241.55,2811.84,0
FAC_004,Steel,83643.50,9434.57,0
FAC_005,Electronics,10306.51,1508.86,0
FAC_006,Steel,80538.18,9218.21,0
FAC_007,Electronics,10063.41,1202.24,0
FAC_008,Steel,80218.31,9590.23,0
FAC_009,Textile,19086.86,2337.04,0
FAC_010,Textile,18035.60,2488.82,0
FAC_011,Electronics,10651.07,1406.06,0
FAC_012,Electronics,10538.61,1274.14,0
FAC_013,Steel,81811.28,9859.02,0
FAC_014,Textile,19837.12,2300.00,0
FAC_015,Textile,19419.43,2344.44,0
FAC_016,Steel,80426.13,9487.71,0
FAC_017,Textile,20297.03,3033.99,0
FAC_018,Textile,21505.56,2828.47,0
FAC_019,Steel,86423.48,9918.97,0
FAC_020,Electronics,11390.35,1448.62,0
FAC_021,Electronics,10751.35,1334.14,0
FAC_022,Steel,90370.98,9873.63,0
FAC_023,Textile,19253.66,2272.59,0
FAC_024,Electronics,11094.55,1411.72,0
FAC_025,Electronics,10313.12,1411.25,0
FAC_026,Steel,82249.71,9628.09,0
FAC_027,Steel,87576.96,9630.05,0
FAC_028,Textile,19680.62,2412.99,0
FAC_029,Steel,85577.16,10122.61,0
FAC_030,Electronics,10502.64,1287.85,0
FAC_031,Electronics,9284.84,1048.30,0
FAC_032,Steel,89640.90,17696.02,0
FAC_033,Textile,17270.47,1852.79,0
FAC_034,Textile,17971.28,2574.93,0
FAC_035,Steel,75981.59,9379.09,0
FAC_036,Steel,81468.81,9038.27,0
FAC_037,Steel,82450.96,10472.33,0
FAC_038,Textile,16606.88,1618.44,0
FAC_039,Electronics,9170.32,1312.56,0
FAC_040,Electronics,11061.13,1193.50,0
FAC_041,Electronics,10371.21,1195.98,0
FAC_042,Textile,19919.52,2087.75,0
FAC_043,Electronics,10659.23,1471.44,0
FAC_044,Electronics,9923.72,1340.87,0
FAC_045,Textile,18803.24,2317.40,0
FAC_046,Textile,17906.15,2587.85,0
FAC_047,Textile,21145.76,2687.28,0
FAC_048,Textile,15861.03,1660.27,0
FAC_049,Textile,18972.33,2367.61,0
FAC_050,Textile,19668.77,2982.68,0
