factory_id,sector,total_emissions_kg,max_monthly_emissions_kg,alerts_count
FAC_001,Textile,17997.56,2080.51,0
FAC_002,Textile,18875.07,2189.45,0
FAC_003,Electronics,10050.69,1317.48,0
FAC_004,Textile,19158.43,2528.14,0
FAC_005,Textile,18776.78,2158.27,0
FAC_006,Textile,19803.95,2324.22,0
FAC_007,Textile,17845.25,2296.37,0
FAC_008,Steel,78382.21,8769.21,0
FAC_009,Textile,18586.64,1955.08,0
FAC_010,Steel,90756.28,10429.97,0
FAC_011,Steel,79922.34,7879.39,0
FAC_012,Electronics,9975.25,1158.98,0
FAC_013,Textile,17386.21,2004.52,0
FAC_014,Steel,84000.96,9666.90,0
FAC_015,Steel,83216.99,9192.61,0
FAC_016,Electronics,10062.28,1356.51,0
FAC_017,Steel,92482.16,12571.57,0
FAC_018,Electronics,10888.50,1222.92,0
FAC_019,Textile,20991.45,2328.82,0
FAC_020,Electronics,11051.02,1259.19,0
FAC_021,Textile,18562.59,1895.42,0
FAC_022,Textile,18689.81,2999.00,0
FAC_023,Steel,80039.86,8824.16,0
FAC_024,Steel,89554.04,9962.94,0
FAC_025,Steel,81824.87,9158.33,0
FAC_026,Textile,18732.96,2042.13,0
FAC_027,Textile,19866.26,2135.30,0
FAC_028,Steel,72831.38,8593.87,0
FAC_029,Textile,17718.90,2195.28,0
FAC_030,Textile,17064.95,2025.06,0
FAC_031,Steel,80687.00,8868.44,0
FAC_032,Steel,91800.47,12114.53,0
FAC_033,Textile,17875.94,2003.53,0
FAC_034,Electronics,9051.53,1157.57,0
FAC_035,Textile,19148.05,2893.29,0
FAC_036,Steel,80306.65,10088.88,0
FAC_037,Steel,73349.20,10742.90,0
FAC_038,Steel,82347.32,10091.82,0
FAC_039,Steel,83041.67,8774.15,0
FAC_040,Textile,17802.48,2029.54,0
FAC_041,Steel,87100.48,10527.23,0
FAC_042,Textile,18063.98,2561.79,0
FAC_043,Steel,93745.29,10161.48,0
FAC_044,Steel,95034.13,23923.60,0
FAC_045,Steel,81318.99,7794.18,0
FAC_046,Textile,18760.34,2504.66,0
FAC_047,Steel,78163.37,8252.38,0
FAC_048,Steel,81750.85,10951.07,0
FAC_049,Electronics,11537.59,1321.90,0
FAC_050,Steel,93084.68,10327.84,0
