factory_id,sector,total_emissions_kg,max_monthly_emissions_kg,alerts_count
FAC_001,Textile,17860.87,2451.18,0
FAC_002,Electronics,9022.00,1249.67,0
FAC_003,Steel,71453.38,8380.40,0
FAC_004,Textile,17648.10,2155.66,0
FAC_005,Textile,19819.49,2379.58,0
FAC_006,Steel,80482.13,9288.68,0
FAC_007,Textile,20126.00,2166.14,0
FAC_008,Textile,18259.58,2077.48,0
FAC_009,Electronics,10832.74,1259.43,0
FAC_010,Electronics,10753.81,1212.12,0
FAC_011,Electronics,10340.33,1272.77,0
FAC_012,Electronics,10800.08,1230.78,0
FAC_013,Textile,21303.70,2282.43,0
FAC_014,Electronics,10284.13,1265.98,0
FAC_015,Steel,83665.70,10303.34,0
FAC_016,Textile,18045.71,2036.33,0
FAC_017,Electronics,12169.12,1591.69,0
FAC_018,Electronics,11154.37,1418.80,0
FAC_019,Steel,70778.68,7848.88,0
FAC_020,Steel,88365.67,9545.35,0
FAC_021,Electronics,10337.26,1377.51,0
FAC_022,Electronics,10843.59,2530.28,0
FAC_023,Electronics,10388.99,1496.67,0
FAC_024,Steel,70086.12,8303.29,0
FAC_025,Electronics,11224.59,1367.22,0
FAC_026,Electronics,11197.51,1694.39,0
FAC_027,Textile,19066.13,2325.23,0
FAC_028,Electronics,10809.63,1226.17,0
FAC_029,Electronics,10829.91,1761.40,0
FAC_030,Steel,81299.87,10815.49,0
FAC_031,Textile,19281.27,2876.78,0
FAC_032,Electronics,10637.98,1302.72,0
FAC_033,Textile,20761.38,2424.22,0
FAC_034,Electronics,10378.05,1262.21,0
FAC_035,Textile,18026.50,2554.84,0
FAC_036,Electronics,10874.54,1223.99,0
FAC_037,Electronics,12055.45,1842.53,0
FAC_038,Steel,89867.17,11105.66,0
FAC_039,Steel,80386.46,8812.40,0
FAC_040,Steel,89572.36,10689.92,0
FAC_041,Steel,88039.09,9299.33,0
FAC_042,Steel,84040.19,10218.49,0
FAC_043,Electronics,8687.47,1067.09,0
FAC_044,Steel,85295.06,14314.05,0
FAC_045,Steel,80638.66,9784.29,0
FAC_046,Steel,82802.39,11057.99,0
FAC_047,Steel,79876.07,10445.27,0
FAC_048,Steel,82192.58,10233.32,0
FAC_049,Steel,87044.87,8775.30,0
FAC_050,Electronics,11674.66,1829.58,0
