factory_id,sector,total_emissions_kg,max_monthly_emissions_kg,alerts_count
FAC_001,Textile,20049.05,2306.48,0
FAC_002,Textile,19638.17,2331.33,0
FAC_003,Textile,20801.09,2314.91,0
FAC_004,Textile,16750.45,2458.10,0
FAC_005,Electronics,10529.05,1137.15,0
FAC_006,Steel,77816.86,9243.22,0
FAC_007,Electronics,10706.36,1235.31,0
FAC_008,Steel,80724.86,9867.54,0
FAC_009,Steel,78316.27,10073.99,0
FAC_010,Textile,17905.88,2559.33,0
FAC_011,Electronics,11063.20,1424.23,0
FAC_012,Electronics,10886.94,1289.47,0
FAC_013,Electronics,9933.63,1263.27,0
FAC_014,Textile,16539.65,2311.17,0
FAC_015,Steel,88761.68,9610.38,0
FAC_016,Steel,81282.55,9614.49,0
FAC_017,Electronics,10217.10,1161.91,0
FAC_018,Steel,80774.44,9883.63,0
FAC_019,Electronics,10334.96,1156.38,0
FAC_020,Electronics,9175.56,1180.34,0
FAC_021,Steel,86814.50,9911.53,0
FAC_022,Steel,82446.17,12341.94,0
FAC_023,Steel,82591.95,10750.69,0
FAC_024,Textile,20190.13,2373.23,0
FAC_025,Steel,83064.01,10093.31,0
FAC_026,Textile,18621.12,2345.97,0
FAC_027,Electronics,10133.94,1533.51,0
FAC_028,Electronics,10033.53,1283.78,0
FAC_029,Textile,21902.04,2247.14,0
FAC_030,Steel,85437.53,10364.94,0
FAC_031,Electronics,10895.28,1398.44,0
FAC_032,Electronics,12589.69,1707.23,0
FAC_033,Steel,81216.19,9259.62,0
FAC_034,Textile,18329.06,2055.59,0
FAC_035,Electronics,10005.49,1347.07,0
FAC_036,Electronics,10235.70,1451.93,0
FAC_037,Electronics,11337.74,1458.36,0
FAC_038,Electronics,11578.44,1319.48,0
FAC_039,Electronics,10091.69,1156.37,0
FAC_040,Steel,78989.45,9597.35,0
FAC_041,Textile,18338.05,1859.22,0
FAC_042,Textile,20145.83,3227.86,0
FAC_043,Electronics,11044.61,1344.45,0
FAC_044,Steel,90607.34,12734.39,0
FAC_045,Electronics,10833.93,1381.13,0
FAC_046,Textile,19619.72,2230.97,0
FAC_047,Textile,18432.59,2761.11,0
FAC_048,Electronics,10660.16,1220.64,0
FAC_049,Electronics,9517.00,1205.80,0
FAC_050,Steel,86458.84,11280.26,0
