factory_id,sector,total_emissions_kg,max_monthly_emissions_kg,alerts_count
FAC_001,Steel,86681.47,9190.75,0
FAC_002,Electronics,11165.03,1500.01,0
FAC_003,Steel,81432.66,9282.61,0
FAC_004,Textile,18902.25,2056.15,0
FAC_005,Steel,84318.12,9374.46,0
FAC_006,Textile,18121.27,2026.86,0
FAC_007,Electronics,10906.91,1525.21,0
FAC_008,Textile,18642.28,2711.95,0
FAC_009,Steel,73610.12,8323.12,0
FAC_010,Steel,94533.04,11501.29,0
FAC_011,Steel,83800.72,8865.43,0
FAC_012,Electronics,11946.58,1630.21,0
FAC_013,Electronics,11105.95,1239.18,0
FAC_014,Textile,19386.09,2194.09,0
FAC_015,Electronics,10430.21,1350.07,0
FAC_016,Textile,18542.75,2022.88,0
FAC_017,Steel,84078.38,10672.82,0
FAC_018,Electronics,8441.16,958.79,0
FAC_019,Steel,84037.50,10012.65,0
FAC_020,Electronics,10585.41,1174.94,0
FAC_021,Steel,88845.49,9866.87,0
FAC_022,Textile,20652.76,2293.62,0
FAC_023,Textile,18218.44,2216.18,0
FAC_024,Steel,78958.03,8672.72,0
FAC_025,Steel,78851.69,9974.93,0
FAC_026,Electronics,10471.71,1178.26,0
FAC_027,Steel,82797.69,9138.57,0
FAC_028,Textile,17918.78,1950.09,0
FAC_029,Steel,86796.03,11752.73,0
FAC_030,Textile,16268.42,2223.06,0
FAC_031,Steel,81643.59,8222.34,0
FAC_032,Textile,20600.99,3365.88,0
FAC_033,Steel,80683.54,10135.79,0
FAC_034,Electronics,10517.56,1350.17,0
FAC_035,Textile,19225.88,2169.48,0
FAC_036,Steel,81291.02,8862.79,0
FAC_037,Textile,18676.42,2125.16,0
FAC_038,Textile,16816.44,2118.62,0
FAC_039,Textile,19830.99,2335.60,0
FAC_040,Steel,85263.30,10708.95,0
FAC_041,Steel,82727.23,9122.69,0
FAC_042,Textile,17307.71,2180.42,0
FAC_043,Electronics,10538.43,1235.37,0
FAC_044,Electronics,9417.42,1180.43,0
FAC_045,Steel,82977.98,8859.20,0
FAC_046,Textile,19965.49,2715.01,0
FAC_047,Textile,19214.17,2598.44,0
FAC_048,Steel,85629.09,10007.31,0
FAC_049,Textile,19613.90,2260.60,0
FAC_050,Textile,19206.87,3463.65,0
